video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7311159694209355026,2023-12-10T21:33:43,15.0,US,,4.0,0.0,0.0,235.0,#capcut trending template #foryou #trending #tiktok ,False,,hammadahmad814,Hammad Ahmad,,,,,,False
7307348411815136544,2023-11-30T15:03:59,28.0,GB,,1732.0,44.0,32.0,9800000.0,Aaaaand we’re back with another important Public Skincare Announcement! Spoiler alert: Pro-Collagen formulas > collagen gum. @hellotefi ,True,,elemis,ELEMIS,,,,,,True
7307372233708686598,2023-11-30T16:36:26,10.0,TR,,7684.0,48.0,30.0,90500.0,#jimin #parkjimin #jiminbts #btsreaction #bts_official_bighit #btsarmy #btsxarmy #btsedit #btspov #bts #pov #povstories #povs #foryoupage #fyp #fypシ #kpop #armybts #army #viral #ynpov #yn #fy ,False,,zeenathequeen,✨Zeena✨,,,,,,False
7299646146182417669,2023-11-09T20:55:14,434.0,NG,,62600.0,598.0,528.0,925900.0,He fell in love with her the very moment he set his eyes on her! She’s so beautiful and funny 😂😂#nollywood #fypシ #nollywoodmovies😁😁😂 #nollywoodmovies #vira #viralvideo ,False,,mayors.tv,Mayor’s tv,,,,,,False
7309773394805853445,2023-12-07T03:54:08,19.0,NG,,7468.0,39.0,70.0,40700.0,To be continued #foryou #j_for_jozelf_ ,False,,j_for_jozelf_,✨Shaka✨,,,,,,False
7308550097049029919,2023-12-03T20:47:15,49.0,US,,617800.0,4406.0,1078.0,3600000.0,My broken viet is slowly comin together #fyp #foryou #asian ,False,,dahrian,Darian,,,,,,False
7307126520890346798,2023-11-30T00:43:11,24.0,US,,110600.0,2706.0,268.0,479300.0,,False,,r4nul,Lun4r,,,,,,False
7305976480079678763,2023-11-26T22:20:26,6.0,US,,135800.0,12400.0,1653.0,1600000.0,Yup.......seems about right #iowa #indy #upsetting ,False,,bdahms77,Brandon Dahms,,,,,,False
7295076762784943365,2023-10-28T14:23:41,244.0,GH,,45600.0,189.0,344.0,592100.0,CC: CAMPUSWITHSHARKBOY #ghanatiktok🇬🇭 #nigeriantiktok🇳🇬 #ecastupdate #findyourmatch #dating #relationship #trending ,False,,ecastupdate,Ecast Update 🇬🇭🇳🇬,,,,,,False
7289425608637943045,2023-10-13T08:54:19,31.0,NG,,15500.0,813.0,170.0,572300.0,"This ingredients offers some proteins, vitamins, and minerals that are very essential for human growth and development. From experience, I recommend this for your babies #babypap #honeyindulgence #foodtok #momsoftiktok #fypシ ",False,,omokanyin_sola,Omokanyinsola,,,,,,False
7305523862995848453,2023-11-25T17:03:47,10.0,NG,,138600.0,4096.0,1067.0,915900.0,Na to drop EP remain 🤣#fypシ゚viral #funny #fyp #singing ,False,,dmsolo41,Degreat-Solo,,,,,,False
7302220369732259118,2023-11-16T19:24:45,15.0,US,,7494.0,145.0,42.0,12300000.0,these @olaplex holiday kits are my favorite gifts under the tree this year! 🎄🎅🏼🫶🏻✨,True,,ashleynoelleeee,ashley noelle,,,,,,False
7309251293481323822,2023-12-05T18:08:22,14.0,US,,857700.0,3184.0,1992.0,8800000.0,i mean fair enough #nameawoman #nycfriends #trending #newtrend #margaretthatcher ,False,,katie.olivero,katie,,,,,,False
7299157488841051424,2023-11-08T13:19:02,21.0,GB,,23300.0,1576.0,453.0,406400.0,Word baakop3💀 #ghana / #ghanatiktok🇬🇭 / #ghanatiktokers🇬🇭🇬🇭🇬🇭 / #ghtiktok / #ghtiktokers / #ghanacomedy / #ghanameme ,False,,ghanaspace,Ghana Space,,,,,,False
7311162323081661727,2023-12-10T21:44:03,59.0,US,,2.0,0.0,0.0,212.0,Commented on @Ian’s post,False,,georgebrown901,george brown,,,,,,False
7306134022290230534,2023-11-27T08:31:30,207.0,GH,,12300.0,27.0,43.0,125900.0,#kofiquan #kofiquanmusic #trend #fyp #quanmusic ,False,,kofiquanmusic,Kofi Quan Music,,,,,,False
7310135402310978846,2023-12-08T03:19:08,9.0,US,"Pink Friday 2, everybody move your body, nicki minaj, nicki minaj pink friday 2, everybody jersey club, move your feet, filly dancing, kai reacting to nicki minaj everybody, pink friday girls, kai reacting to nicki minaj",831800.0,12700.0,1970.0,5700000.0,this song just make me wanna get up and bust a move #nickiminaj #pinkfriday2 #liluzivert #pinkfriday #barbz #december8th #nicki ,False,,ctrl.lover_,ッ,,,,,,False
